#dif_id	chip_id	chan_id	x	y	z	view	plane	px
0	0	0	79.5	900	100	0	8	0
0	0	1	36.5	900	100	0	9	0
0	0	2	423.5	900	300	0	0	1
0	0	3	380.5	900	300	0	1	1
0	0	4	337.5	900	300	0	2	1
0	0	5	294.5	900	300	0	3	1
0	0	6	251.5	900	300	0	4	1
0	0	7	208.5	900	300	0	5	1
0	0	8	122.5	900	100	0	7	0
0	0	9	208.5	900	100	0	5	0
0	0	10	294.5	900	100	0	3	0
0	0	11	380.5	900	100	0	1	0
0	0	12	165.5	900	100	0	6	0
0	0	13	251.5	900	100	0	4	0
0	0	14	337.5	900	100	0	2	0
0	0	15	423.5	900	100	0	0	0
0	0	16	-1	-1	-1	0	-1	-1
0	0	17	36.5	900	500	0	9	2
0	0	18	122.5	900	500	0	7	2
0	0	19	208.5	900	500	0	5	2
0	0	20	294.5	900	500	0	3	2
0	0	21	380.5	900	500	0	1	2
0	0	22	36.5	900	300	0	9	1
0	0	23	122.5	900	300	0	7	1
0	0	24	337.5	900	500	0	2	2
0	0	25	423.5	900	500	0	0	2
0	0	26	165.5	900	300	0	6	1
0	0	27	79.5	900	300	0	8	1
0	0	28	251.5	900	500	0	4	2
0	0	29	165.5	900	500	0	6	2
0	0	30	79.5	900	500	0	8	2
0	0	31	-1	-1	-1	0	-1	-1
0	1	0	79.5	900	700	0	8	3
0	1	1	36.5	900	700	0	9	3
0	1	2	423.5	900	900	0	0	4
0	1	3	380.5	900	900	0	1	4
0	1	4	337.5	900	900	0	2	4
0	1	5	294.5	900	900	0	3	4
0	1	6	251.5	900	900	0	4	4
0	1	7	208.5	900	900	0	5	4
0	1	8	122.5	900	700	0	7	3
0	1	9	208.5	900	700	0	5	3
0	1	10	294.5	900	700	0	3	3
0	1	11	380.5	900	700	0	1	3
0	1	12	165.5	900	700	0	6	3
0	1	13	251.5	900	700	0	4	3
0	1	14	337.5	900	700	0	2	3
0	1	15	423.5	900	700	0	0	3
0	1	16	-1	-1	-1	0	-1	-1
0	1	17	-1	-1	-1	0	-1	-1
0	1	18	-1	-1	-1	0	-1	-1
0	1	19	-1	-1	-1	0	-1	-1
0	1	20	-1	-1	-1	0	-1	-1
0	1	21	-1	-1	-1	0	-1	-1
0	1	22	36.5	900	900	0	9	4
0	1	23	122.5	900	900	0	7	4
0	1	24	-1	-1	-1	0	-1	-1
0	1	25	-1	-1	-1	0	-1	-1
0	1	26	165.5	900	900	0	6	4
0	1	27	79.5	900	900	0	8	4
0	1	28	-1	-1	-1	0	-1	-1
0	1	29	-1	-1	-1	0	-1	-1
0	1	30	-1	-1	-1	0	-1	-1
0	1	31	-1	-1	-1	0	-1	-1
0	2	0	79.5	900	1100	0	8	5
0	2	1	36.5	900	1100	0	9	5
0	2	2	423.5	900	1300	0	0	6
0	2	3	-1	-1	-1	0	-1	-1
0	2	4	337.5	900	1300	0	2	6
0	2	5	294.5	900	1300	0	3	6
0	2	6	251.5	900	1300	0	4	6
0	2	7	208.5	900	1300	0	5	6
0	2	8	122.5	900	1100	0	7	5
0	2	9	208.5	900	1100	0	5	5
0	2	10	294.5	900	1100	0	3	5
0	2	11	380.5	900	1100	0	1	5
0	2	12	165.5	900	1100	0	6	5
0	2	13	251.5	900	1100	0	4	5
0	2	14	337.5	900	1100	0	2	5
0	2	15	423.5	900	1100	0	0	5
0	2	16	380.5	900	1300	0	1	6
0	2	17	36.5	900	1500	0	9	7
0	2	18	165.5	900	1500	0	6	7
0	2	19	208.5	900	1500	0	5	7
0	2	20	294.5	900	1500	0	3	7
0	2	21	380.5	900	1500	0	1	7
0	2	22	36.5	900	1300	0	9	6
0	2	23	122.5	900	1300	0	7	6
0	2	24	337.5	900	1500	0	2	7
