#dif_id	chip_id	chan_id	x   		y		z		view	plane   slot	px
0		0		0		79.5		900		100		0		8		0		9
0		0		1		36.5		900		100		0		9		0		10
0		0		2		423.5		900		300		0		0		1		11
0		0		3		380.5		900		300		0		1		1		12
0		0		4		337.5		900		300		0		2		1		13
0		0		5		294.5		900		300		0		3		1		14
0		0		6		251.5		900		300		0		4		1		15
0		0		7		208.5		900		300		0		5		1		16
0		0		8		122.5		900		100		0		7		0		8
0		0		9		208.5		900		100		0		5		0		6
0		0		10		294.5		900		100		0		3		0		4
0		0		11		380.5		900		100		0		1		0		2
0		0		12		165.5		900		100		0		6		0		7
0		0		13		251.5		900		100		0		4		0		5
0		0		14		337.5		900		100		0		2		0		3
0		0		15		423.5		900		100		0		0		0		1
0		0		16		-1		    -1		-1		-1		-1		-1		32
0		0		17		36.5		900		500		0		9		2		30
0		0		18		122.5		900		500		0		7		2		28
0		0		19		208.5		900		500		0		5		2		26
0		0		20		294.5		900		500		0		3		2		24
0		0		21		380.5		900		500		0		1		2		22
0		0		22		36.5		900		300		0		9		1		20
0		0		23		122.5		900		300		0		7		1		18
0		0		24		337.5		900		500		0		2		2		23
0		0		25		423.5		900		500		0		0		2		21
0		0		26		165.5		900		300		0		6		1		17
0		0		27		79.5		900		300		0		8		1		19
0		0		28		251.5		900		500		0		4		2		25
0		0		29		165.5		900		500		0		6		2		27
0		0		30		79.5		900		500		0		8		2		29
0		0		31		-1		    -1		-1		-1		-1		-1		31
0		1		0		79.5		900		700		0		8		3		9
0		1		1		36.5		900		700		0		9		3		10
0		1		2		423.5		900		900		0		0		4		11
0		1		3		380.5		900		900		0		1		4		12
0		1		4		337.5		900		900		0		2		4		13
0		1		5		294.5		900		900		0		3		4		14
0		1		6		251.5		900		900		0		4		4		15
0		1		7		208.5		900		900		0		5		4		16
0		1		8		122.5		900		700		0		7		3		8
0		1		9		208.5		900		700		0		5		3		6
0		1		10		294.5		900		700		0		3		3		4
0		1		11		380.5		900		700		0		1		3		2
0		1		12		165.5		900		700		0		6		3		7
0		1		13		251.5		900		700		0		4		3		5
0		1		14		337.5		900		700		0		2		3		3
0		1		15		423.5		900		700		0		0		3		1
0		1		16		-1		    -1		-1		-1		-1		-1		32
0		1		17		-1		    -1		-1		-1		-1		-1		30
0		1		18		-1		    -1		-1		-1		-1		-1		28
0		1		19		-1		    -1		-1		-1		-1		-1		26
0		1		20		-1		    -1		-1		-1		-1		-1		24
0		1		21		-1		    -1		-1		-1		-1		-1		22
0		1		22		36.5		900		900		0		9		4		20
0		1		23		122.5		900		900		0		7		4		18
0		1		24		-1		    -1		-1		-1		-1		-1		23
0		1		25		-1		    -1		-1		-1		-1		-1		21
0		1		26		165.5		900		900		0		6		4		17
0		1		27		79.5		900		900		0		8		4		19
0		1		28		-1		    -1		-1		-1		-1		-1		25
0		1		29		-1		    -1		-1		-1		-1		-1		27
0		1		30		-1		    -1		-1		-1		-1		-1		29
0		1		31		-1		    -1		-1		-1		-1		-1		31
0		2		0		79.5		900		1100	0		8		5		9
0		2		1		36.5		900		1100	0		9		5		10
0		2		2		423.5		900		1300	0		0		6		11
0		2		3		-1		    -1		-1		-1		-1		6		12
0		2		4		337.5		900		1300	0		2		6		13
0		2		5		294.5		900		1300	0		3		6		14
0		2		6		251.5		900		1300	0		4		6		15
0		2		7		208.5		900		1300	0		5		6		16
0		2		8		122.5		900		1100	0		7		5		8
0		2		9		208.5		900		1100	0		5		5		6
0		2		10		294.5		900		1100	0		3		5		4
0		2		11		380.5		900		1100	0		1		5		2
0		2		12		165.5		900		1100	0		6		5		7
0		2		13		251.5		900		1100	0		4		5		5
0		2		14		337.5		900		1100	0		2		5		3
0		2		15		423.5		900		1100	0		0		5		1
0		2		16		380.5		900		1300	0		1		6		32
0		2		17		36.5		900		1500	0		9		7		30
0		2		18		122.5		900		1500	0		7		7		28
0		2		19		208.5		900		1500	0		5		7		26
0		2		20		294.5		900		1500	0		3		7		24
0		2		21		380.5		900		1500	0		1		7		22
0		2		22		36.5		900		1300	0		9		6		20
0		2		23		122.5		900		1300	0		7		6		18
0		2		24		337.5		900		1500	0		2		7		23
0		2		25		423.5		900		1500	0		0		7		21
0		2		26		165.5		900		1300	0		6		6		17
0		2		27		79.5		900		1300	0		8		6		19
0		2		28		251.5		900		1500	0		4		7		25
0		2		29		165.5		900		1500	0		6		7		27
0		2		30		79.5		900		1500	0		8		7		29
0		2		31		-1		    -1		-1		-1		-1		-1		31
1		0		0		380.5		900		100		1		1		0		9
1		0		1		423.5		900		100		1		0		0		10
1		0		2		36.5		900		300		1		9		1		11
1		0		3		79.5		900		300		1		8		1		12
1		0		4		122.5		900		300		1		7		1		13
1		0		5		165.5		900		300		1		6		1		14
1		0		6		208.5		900		300		1		5		1		15
1		0		7		251.5		900		300		1		4		1		16
1		0		8		337.5		900		100		1		2		0		8
1		0		9		251.5		900		100		1		4		0		6
1		0		10		165.5		900		100		1		6		0		4
1		0		11		79.5		900		100		1		8		0		2
1		0		12		294.5		900		100		1		3		0		7
1		0		13		208.5		900		100		1		5		0		5
1		0		14		122.5		900		100		1		7		0		3
1		0		15		36.5		900		100		1		9		0		1
1		0		16		-1		    -1		-1		-1		-1		-1		32
1		0		17		423.5		900		500		1		0		2		30
1		0		18		337.5		900		500		1		2		2		28
1		0		19		251.5		900		500		1		4		2		26
1		0		20		165.5		900		500		1		6		2		24
1		0		21		79.5		900		500		1		8		2		22
1		0		22		423.5		900		300		1		0		1		20
1		0		23		337.5		900		300		1		2		1		18
1		0		24		122.5		900		500		1		7		2		23
1		0		25		36.5		900		500		1		9		2		21
1		0		26		294.5		900		300		1		3		1		17
1		0		27		380.5		900		300		1		1		1		19
1		0		28		208.5		900		500		1		5		2		25
1		0		29		294.5		900		500		1		3		2		27
1		0		30		380.5		900		500		1		1		2		29
1		0		31		-1		    -1		-1		-1		-1		-1		31
1		1		0		380.5		900		700		1		1		3		9
1		1		1		423.5		900		700		1		0		3		10
1		1		2		36.5		900		900		1		9		4		11
1		1		3		79.5		900		900		1		8		4		12
1		1		4		122.5		900		900		1		7		4		13
1		1		5		165.5		900		900		1		6		4		14
1		1		6		208.5		900		900		1		5		4		15
1		1		7		251.5		900		900		1		4		4		16
1		1		8		337.5		900		700		1		2		3		8
1		1		9		251.5		900		700		1		4		3		6
1		1		10		165.5		900		700		1		6		3		4
1		1		11		79.5		900		700		1		8		3		2
1		1		12		294.5		900		700		1		3		3		7
1		1		13		208.5		900		700		1		5		3		5
1		1		14		122.5		900		700		1		7		3		3
1		1		15		36.5		900		700		1		9		3		1
1		1		16		-1		    -1		-1		-1		-1		-1		32
1		1		17		-1		    -1		-1		-1		-1		-1		30
1		1		18		251.5		900		1300	1		4		6		28
1		1		19		165.5		900		1300	1		6		6		26
1		1		20		79.5		900		1300	1		8		6		24
1		1		21		423.5		900		1100	1		0		5		22
1		1		22		423.5		900		900		1		0		4		20
1		1		23		337.5		900		900		1		2		4		18
1		1		24		36.5		900		1300	1		9		6		23
1		1		25		380.5		900		1100	1		1		5		21
1		1		26		294.5		900		900		1		3		4		17
1		1		27		380.5		900		900		1		1		4		19
1		1		28		122.5		900		1300	1		7		6		25
1		1		29		208.5		900		1300	1		5		6		27
1		1		30		-1		    -1		-1		-1		-1		-1		29
1		1		31		-1		    -1		-1		-1		-1		-1		31
1		2		0		-1		    -1		-1		-1		-1		-1		9
1		2		1		-1		    -1		-1		-1		-1		-1		10
1		2		2		-1		    -1		-1		-1		-1		-1		11
